"","species","gene"
"1","cuoMcc","100088at32523"
"2","cheMyd","100088at32523"
"3","gopAga","100088at32523"
"4","pelCas","100592at32523"
"5","podExp","100592at32523"
"6","mesTub","100592at32523"
"7","emySub","100592at32523"
"8","carIns","100592at32523"
"9","pelSin","100592at32523"
"10","cuoMcc","100592at32523"
"11","cuoAmb","100592at32523"
"12","cheAbi","100592at32523"
"13","chrPic","100592at32523"
"14","malTer","100592at32523"
"15","cheSer","100592at32523"
"16","cheMyd","100592at32523"
"17","plaMeg","100592at32523"
"18","derMaw","100592at32523"
"19","gopAga","100592at32523"
"20","podExp","102110at32523"
"21","pelCas","104070at32523"
"22","podExp","104070at32523"
"23","mesTub","104070at32523"
"24","emySub","104070at32523"
"25","carIns","104070at32523"
"26","pelSin","104070at32523"
"27","cuoMcc","104070at32523"
"28","cheAbi","104070at32523"
"29","chrPic","104070at32523"
"30","malTer","104070at32523"
"31","cheSer","104070at32523"
"32","cheMyd","104070at32523"
"33","plaMeg","104070at32523"
"34","terMex","104070at32523"
"35","derMaw","104070at32523"
"36","derCor","104070at32523"
"37","gopAga","104070at32523"
"38","pelCas","105920at32523"
"39","pelCas","110019at32523"
"40","podExp","110019at32523"
"41","mesTub","110019at32523"
"42","emySub","110019at32523"
"43","carIns","110019at32523"
"44","pelSin","110019at32523"
"45","cuoMcc","110019at32523"
"46","cuoAmb","110019at32523"
"47","cheAbi","110019at32523"
"48","chrPic","110019at32523"
"49","malTer","110019at32523"
"50","cheSer","110019at32523"
"51","cheMyd","110019at32523"
"52","plaMeg","110019at32523"
"53","terMex","110019at32523"
"54","derMaw","110019at32523"
"55","derCor","110019at32523"
"56","gopAga","110019at32523"
"57","pelCas","112465at32523"
"58","podExp","112465at32523"
"59","mesTub","112465at32523"
"60","emySub","112465at32523"
"61","cuoAmb","112465at32523"
"62","cheAbi","112465at32523"
"63","chrPic","112465at32523"
"64","malTer","112465at32523"
"65","plaMeg","112465at32523"
"66","derMaw","112465at32523"
"67","derCor","112465at32523"
"68","gopAga","112465at32523"
"69","mesTub","117158at32523"
"70","emySub","117158at32523"
"71","pelSin","117158at32523"
"72","cheAbi","117158at32523"
"73","chrPic","117158at32523"
"74","malTer","117158at32523"
"75","cheMyd","117158at32523"
"76","plaMeg","117158at32523"
"77","derMaw","117158at32523"
"78","emySub","118839at32523"
"79","cuoMcc","118839at32523"
"80","cheAbi","118839at32523"
"81","malTer","118839at32523"
"82","terMex","118839at32523"
"83","gopAga","118839at32523"
"84","derCor","126689at32523"
"85","pelSin","135005at32523"
"86","mesTub","138465at32523"
"87","cuoMcc","138465at32523"
"88","malTer","138465at32523"
"89","derMaw","138465at32523"
"90","pelCas","139146at32523"
"91","pelSin","142150at32523"
"92","mesTub","155765at32523"
"93","podExp","158268at32523"
"94","mesTub","158268at32523"
"95","emySub","158268at32523"
"96","carIns","158268at32523"
"97","pelSin","158268at32523"
"98","cuoMcc","158268at32523"
"99","cuoAmb","158268at32523"
"100","cheAbi","158268at32523"
"101","chrPic","158268at32523"
"102","malTer","158268at32523"
"103","cheSer","158268at32523"
"104","cheMyd","158268at32523"
"105","plaMeg","158268at32523"
"106","terMex","158268at32523"
"107","derMaw","158268at32523"
"108","derCor","158268at32523"
"109","gopAga","158268at32523"
"110","chrPic","163930at32523"
"111","cuoMcc","172732at32523"
"112","pelCas","174649at32523"
"113","podExp","174649at32523"
"114","mesTub","174649at32523"
"115","emySub","174649at32523"
"116","carIns","174649at32523"
"117","pelSin","174649at32523"
"118","cuoMcc","174649at32523"
"119","cuoAmb","174649at32523"
"120","cheAbi","174649at32523"
"121","chrPic","174649at32523"
"122","cheSer","174649at32523"
"123","cheMyd","174649at32523"
"124","plaMeg","174649at32523"
"125","derMaw","174649at32523"
"126","derCor","174649at32523"
"127","gopAga","174649at32523"
"128","pelCas","182203at32523"
"129","podExp","182203at32523"
"130","mesTub","182203at32523"
"131","emySub","182203at32523"
"132","carIns","182203at32523"
"133","pelSin","182203at32523"
"134","cuoMcc","182203at32523"
"135","cuoAmb","182203at32523"
"136","cheAbi","182203at32523"
"137","chrPic","182203at32523"
"138","malTer","182203at32523"
"139","cheMyd","182203at32523"
"140","plaMeg","182203at32523"
"141","terMex","182203at32523"
"142","derMaw","182203at32523"
"143","derCor","182203at32523"
"144","gopAga","182203at32523"
"145","podExp","190849at32523"
"146","emySub","190849at32523"
"147","carIns","190849at32523"
"148","pelSin","190849at32523"
"149","cheAbi","190849at32523"
"150","chrPic","190849at32523"
"151","cheMyd","190849at32523"
"152","plaMeg","190849at32523"
"153","terMex","190849at32523"
"154","derMaw","190849at32523"
"155","derCor","190849at32523"
"156","pelCas","192580at32523"
"157","podExp","192580at32523"
"158","mesTub","192580at32523"
"159","emySub","192580at32523"
"160","carIns","192580at32523"
"161","pelSin","192580at32523"
"162","cuoMcc","192580at32523"
"163","cuoAmb","192580at32523"
"164","cheAbi","192580at32523"
"165","chrPic","192580at32523"
"166","malTer","192580at32523"
"167","cheSer","192580at32523"
"168","cheMyd","192580at32523"
"169","plaMeg","192580at32523"
"170","terMex","192580at32523"
"171","derMaw","192580at32523"
"172","derCor","192580at32523"
"173","gopAga","192580at32523"
"174","pelCas","200031at32523"
"175","podExp","200031at32523"
"176","mesTub","200031at32523"
"177","emySub","200031at32523"
"178","pelSin","200031at32523"
"179","cuoMcc","200031at32523"
"180","chrPic","200031at32523"
"181","malTer","200031at32523"
"182","plaMeg","200031at32523"
"183","terMex","200031at32523"
"184","derMaw","200031at32523"
"185","gopAga","200031at32523"
"186","pelCas","200921at32523"
"187","pelCas","204152at32523"
"188","podExp","204152at32523"
"189","mesTub","204152at32523"
"190","emySub","204152at32523"
"191","carIns","204152at32523"
"192","pelSin","204152at32523"
"193","chrPic","204152at32523"
"194","malTer","204152at32523"
"195","cheMyd","204152at32523"
"196","plaMeg","204152at32523"
"197","gopAga","204152at32523"
