"","x"
"1","106441at32523"
"2","107381at32523"
"3","108898at32523"
"4","109112at32523"
"5","109835at32523"
"6","112394at32523"
"7","112843at32523"
"8","113678at32523"
"9","116128at32523"
"10","117316at32523"
"11","117356at32523"
"12","118839at32523"
"13","121708at32523"
"14","12176at32523"
"15","12302at32523"
"16","123811at32523"
"17","124648at32523"
"18","126689at32523"
"19","129465at32523"
"20","130217at32523"
"21","130319at32523"
"22","133001at32523"
"23","133266at32523"
"24","133600at32523"
"25","135019at32523"
"26","135504at32523"
"27","13552at32523"
"28","135651at32523"
"29","135809at32523"
"30","13705at32523"
"31","137161at32523"
"32","138387at32523"
"33","138953at32523"
"34","140901at32523"
"35","141340at32523"
"36","14203at32523"
"37","143557at32523"
"38","146870at32523"
"39","147363at32523"
"40","147626at32523"
"41","150210at32523"
"42","153562at32523"
"43","154328at32523"
"44","155262at32523"
"45","155761at32523"
"46","155765at32523"
"47","157717at32523"
"48","158403at32523"
"49","159065at32523"
"50","159137at32523"
"51","160202at32523"
"52","160946at32523"
"53","161090at32523"
"54","162030at32523"
"55","162454at32523"
"56","164484at32523"
"57","16472at32523"
"58","165494at32523"
"59","167437at32523"
"60","167540at32523"
"61","168608at32523"
"62","173099at32523"
"63","173747at32523"
"64","173918at32523"
"65","174403at32523"
"66","174649at32523"
"67","176412at32523"
"68","178294at32523"
"69","178688at32523"
"70","181827at32523"
"71","181908at32523"
"72","184953at32523"
"73","188112at32523"
"74","188561at32523"
"75","189244at32523"
"76","190153at32523"
"77","196197at32523"
"78","196566at32523"
"79","198372at32523"
"80","200031at32523"
"81","200921at32523"
"82","20131at32523"
"83","204379at32523"
"84","205456at32523"
"85","207226at32523"
"86","209616at32523"
"87","210596at32523"
"88","211953at32523"
"89","21248at32523"
"90","213024at32523"
"91","218681at32523"
"92","219563at32523"
"93","22014at32523"
"94","220440at32523"
"95","22166at32523"
"96","221733at32523"
"97","223988at32523"
"98","224090at32523"
"99","224357at32523"
"100","22697at32523"
"101","227235at32523"
"102","228553at32523"
"103","228616at32523"
"104","22945at32523"
"105","232281at32523"
"106","234304at32523"
"107","234435at32523"
"108","236107at32523"
"109","237414at32523"
"110","238978at32523"
"111","239395at32523"
"112","239575at32523"
"113","241794at32523"
"114","242028at32523"
"115","245334at32523"
"116","245369at32523"
"117","246274at32523"
"118","246738at32523"
"119","247474at32523"
"120","248117at32523"
"121","248181at32523"
"122","248911at32523"
"123","249397at32523"
"124","250210at32523"
"125","250327at32523"
"126","250844at32523"
"127","251071at32523"
"128","253461at32523"
"129","253522at32523"
"130","253557at32523"
"131","255236at32523"
"132","258013at32523"
"133","258710at32523"
"134","258823at32523"
"135","259072at32523"
"136","259972at32523"
"137","260027at32523"
"138","260465at32523"
"139","261228at32523"
"140","261311at32523"
"141","261823at32523"
"142","262036at32523"
"143","262363at32523"
"144","262601at32523"
"145","264354at32523"
"146","266540at32523"
"147","266561at32523"
"148","266585at32523"
"149","268020at32523"
"150","268229at32523"
"151","268617at32523"
"152","269649at32523"
"153","269887at32523"
"154","270878at32523"
"155","272040at32523"
"156","272286at32523"
"157","272864at32523"
"158","273260at32523"
"159","273646at32523"
"160","275814at32523"
"161","275885at32523"
"162","276880at32523"
"163","277011at32523"
"164","277370at32523"
"165","277625at32523"
"166","277704at32523"
"167","27802at32523"
"168","278087at32523"
"169","278501at32523"
"170","280714at32523"
"171","280929at32523"
"172","281238at32523"
"173","281830at32523"
"174","282226at32523"
"175","282478at32523"
"176","282804at32523"
"177","283327at32523"
"178","283660at32523"
"179","283734at32523"
"180","284008at32523"
"181","28568at32523"
"182","285773at32523"
"183","286258at32523"
"184","286526at32523"
"185","286638at32523"
"186","286821at32523"
"187","287359at32523"
"188","288030at32523"
"189","288636at32523"
"190","288646at32523"
"191","288836at32523"
"192","289741at32523"
"193","289897at32523"
"194","290126at32523"
"195","291451at32523"
"196","292469at32523"
"197","293246at32523"
"198","293264at32523"
"199","293635at32523"
"200","29530at32523"
"201","298305at32523"
"202","299633at32523"
"203","300997at32523"
"204","301474at32523"
"205","301621at32523"
"206","302394at32523"
"207","303931at32523"
"208","304171at32523"
"209","304654at32523"
"210","304750at32523"
"211","305735at32523"
"212","307163at32523"
"213","308798at32523"
"214","309030at32523"
"215","33312at32523"
"216","34505at32523"
"217","35526at32523"
"218","35682at32523"
"219","36743at32523"
"220","3768at32523"
"221","40668at32523"
"222","4188at32523"
"223","45371at32523"
"224","46097at32523"
"225","46651at32523"
"226","46714at32523"
"227","49447at32523"
"228","51849at32523"
"229","53317at32523"
"230","58546at32523"
"231","60413at32523"
"232","60890at32523"
"233","61513at32523"
"234","6290at32523"
"235","63752at32523"
"236","64483at32523"
"237","66052at32523"
"238","70364at32523"
"239","70563at32523"
"240","70607at32523"
"241","76356at32523"
"242","76807at32523"
"243","85343at32523"
"244","89208at32523"
"245","89794at32523"
"246","89853at32523"
"247","92478at32523"
"248","92683at32523"
"249","93219at32523"
"250","93470at32523"
"251","94528at32523"
"252","95561at32523"
"253","96762at32523"
"254","97153at32523"
"255","97583at32523"
