"","Gene","Species"
"1","carIns","100088at32523"
"2","cheAbi","100088at32523"
"3","cheMyd","100088at32523"
"4","chrPic","100088at32523"
"5","cuoMcc","100088at32523"
"6","derCor","100088at32523"
"7","derMaw","100088at32523"
"8","gopAga","100088at32523"
"9","pelCas","100088at32523"
"10","plaMeg","100088at32523"
"11","podExp","102110at32523"
"12","carIns","104070at32523"
"13","cheAbi","104070at32523"
"14","cheMyd","104070at32523"
"15","cheSer","104070at32523"
"16","chrPic","104070at32523"
"17","cuoMcc","104070at32523"
"18","derCor","104070at32523"
"19","derMaw","104070at32523"
"20","emySub","104070at32523"
"21","gopAga","104070at32523"
"22","malTer","104070at32523"
"23","mesTub","104070at32523"
"24","pelCas","104070at32523"
"25","pelSin","104070at32523"
"26","plaMeg","104070at32523"
"27","podExp","104070at32523"
"28","terMex","104070at32523"
"29","mesTub","105916at32523"
"30","pelSin","105916at32523"
"31","podExp","105916at32523"
"32","cheAbi","112465at32523"
"33","chrPic","112465at32523"
"34","cuoAmb","112465at32523"
"35","derCor","112465at32523"
"36","derMaw","112465at32523"
"37","emySub","112465at32523"
"38","gopAga","112465at32523"
"39","malTer","112465at32523"
"40","mesTub","112465at32523"
"41","pelCas","112465at32523"
"42","plaMeg","112465at32523"
"43","podExp","112465at32523"
"44","derMaw","115499at32523"
"45","cheAbi","117158at32523"
"46","cheMyd","117158at32523"
"47","chrPic","117158at32523"
"48","derMaw","117158at32523"
"49","emySub","117158at32523"
"50","malTer","117158at32523"
"51","mesTub","117158at32523"
"52","pelSin","117158at32523"
"53","plaMeg","117158at32523"
"54","cheAbi","118839at32523"
"55","cuoMcc","118839at32523"
"56","derCor","118839at32523"
"57","emySub","118839at32523"
"58","gopAga","118839at32523"
"59","malTer","118839at32523"
"60","mesTub","118839at32523"
"61","pelCas","118839at32523"
"62","podExp","118839at32523"
"63","terMex","118839at32523"
"64","pelSin","135005at32523"
"65","carIns","158268at32523"
"66","cheAbi","158268at32523"
"67","cheMyd","158268at32523"
"68","cheSer","158268at32523"
"69","chrPic","158268at32523"
"70","cuoAmb","158268at32523"
"71","cuoMcc","158268at32523"
"72","derCor","158268at32523"
"73","derMaw","158268at32523"
"74","emySub","158268at32523"
"75","gopAga","158268at32523"
"76","malTer","158268at32523"
"77","mesTub","158268at32523"
"78","pelSin","158268at32523"
"79","plaMeg","158268at32523"
"80","podExp","158268at32523"
"81","terMex","158268at32523"
"82","carIns","163930at32523"
"83","cheAbi","163930at32523"
"84","cheMyd","163930at32523"
"85","cheSer","163930at32523"
"86","chrPic","163930at32523"
"87","cuoAmb","163930at32523"
"88","cuoMcc","163930at32523"
"89","derMaw","163930at32523"
"90","emySub","163930at32523"
"91","gopAga","163930at32523"
"92","malTer","163930at32523"
"93","pelCas","163930at32523"
"94","plaMeg","163930at32523"
"95","podExp","163930at32523"
"96","terMex","163930at32523"
"97","carIns","174649at32523"
"98","cheAbi","174649at32523"
"99","cheMyd","174649at32523"
"100","cheSer","174649at32523"
"101","chrPic","174649at32523"
"102","cuoAmb","174649at32523"
"103","cuoMcc","174649at32523"
"104","derCor","174649at32523"
"105","derMaw","174649at32523"
"106","emySub","174649at32523"
"107","gopAga","174649at32523"
"108","mesTub","174649at32523"
"109","pelCas","174649at32523"
"110","pelSin","174649at32523"
"111","plaMeg","174649at32523"
"112","podExp","174649at32523"
"113","carIns","185680at32523"
"114","cheAbi","185680at32523"
"115","cuoAmb","185680at32523"
"116","cuoMcc","185680at32523"
"117","derMaw","185680at32523"
"118","emySub","185680at32523"
"119","malTer","185680at32523"
"120","mesTub","185680at32523"
"121","pelSin","185680at32523"
"122","podExp","185680at32523"
"123","carIns","190849at32523"
"124","cheAbi","190849at32523"
"125","cheMyd","190849at32523"
"126","chrPic","190849at32523"
"127","derCor","190849at32523"
"128","derMaw","190849at32523"
"129","emySub","190849at32523"
"130","pelSin","190849at32523"
"131","plaMeg","190849at32523"
"132","podExp","190849at32523"
"133","terMex","190849at32523"
"134","gopAga","193873at32523"
"135","chrPic","200031at32523"
"136","cuoMcc","200031at32523"
"137","derMaw","200031at32523"
"138","emySub","200031at32523"
"139","gopAga","200031at32523"
"140","malTer","200031at32523"
"141","mesTub","200031at32523"
"142","pelCas","200031at32523"
"143","pelSin","200031at32523"
"144","plaMeg","200031at32523"
"145","podExp","200031at32523"
"146","terMex","200031at32523"
"147","carIns","204152at32523"
"148","cheMyd","204152at32523"
"149","chrPic","204152at32523"
"150","emySub","204152at32523"
"151","gopAga","204152at32523"
"152","malTer","204152at32523"
"153","mesTub","204152at32523"
"154","pelCas","204152at32523"
"155","pelSin","204152at32523"
"156","plaMeg","204152at32523"
"157","podExp","204152at32523"
"158","derMaw","212618at32523"
"159","gopAga","213031at32523"
"160","cheMyd","213441at32523"
"161","cheSer","213441at32523"
"162","chrPic","213441at32523"
"163","cuoMcc","213441at32523"
"164","derMaw","213441at32523"
"165","emySub","213441at32523"
"166","gopAga","213441at32523"
"167","mesTub","213441at32523"
"168","pelCas","213441at32523"
"169","pelSin","213441at32523"
"170","podExp","213441at32523"
"171","terMex","213441at32523"
"172","carIns","216370at32523"
"173","cheAbi","216370at32523"
"174","cheMyd","216370at32523"
"175","cheSer","216370at32523"
"176","chrPic","216370at32523"
"177","cuoAmb","216370at32523"
"178","cuoMcc","216370at32523"
"179","derCor","216370at32523"
"180","derMaw","216370at32523"
"181","emySub","216370at32523"
"182","gopAga","216370at32523"
"183","malTer","216370at32523"
"184","mesTub","216370at32523"
"185","pelCas","216370at32523"
"186","pelSin","216370at32523"
"187","plaMeg","216370at32523"
"188","podExp","216370at32523"
"189","terMex","216370at32523"
"190","carIns","218681at32523"
"191","cheAbi","218681at32523"
"192","cheMyd","218681at32523"
"193","cheSer","218681at32523"
"194","cuoAmb","218681at32523"
"195","cuoMcc","218681at32523"
"196","derMaw","218681at32523"
"197","emySub","218681at32523"
"198","malTer","218681at32523"
"199","mesTub","218681at32523"
"200","pelCas","218681at32523"
"201","pelSin","218681at32523"
"202","plaMeg","218681at32523"
"203","podExp","218681at32523"
"204","terMex","218681at32523"
"205","carIns","235309at32523"
"206","cheAbi","235309at32523"
