"","Gene","Species"
"1","carIns","100088at32523"
"2","cheAbi","100088at32523"
"3","cheMyd","100088at32523"
"4","chrPic","100088at32523"
"5","cuoMcc","100088at32523"
"6","derCor","100088at32523"
"7","derMaw","100088at32523"
"8","gopAga","100088at32523"
"9","pelCas","100088at32523"
"10","plaMeg","100088at32523"
"11","carIns","100325at32523"
"12","cheAbi","100325at32523"
"13","cheMyd","100325at32523"
"14","cheSer","100325at32523"
"15","chrPic","100325at32523"
"16","cuoAmb","100325at32523"
"17","cuoMcc","100325at32523"
"18","derCor","100325at32523"
"19","derMaw","100325at32523"
"20","emySub","100325at32523"
"21","gopAga","100325at32523"
"22","malTer","100325at32523"
"23","mesTub","100325at32523"
"24","pelCas","100325at32523"
"25","pelSin","100325at32523"
"26","plaMeg","100325at32523"
"27","podExp","100325at32523"
"28","terMex","100325at32523"
"29","carIns","100592at32523"
"30","cheAbi","100592at32523"
"31","cheMyd","100592at32523"
"32","cheSer","100592at32523"
"33","chrPic","100592at32523"
"34","cuoAmb","100592at32523"
"35","cuoMcc","100592at32523"
"36","derMaw","100592at32523"
"37","emySub","100592at32523"
"38","gopAga","100592at32523"
"39","malTer","100592at32523"
"40","mesTub","100592at32523"
"41","pelCas","100592at32523"
"42","pelSin","100592at32523"
"43","plaMeg","100592at32523"
"44","podExp","100592at32523"
"45","carIns","100796at32523"
"46","cheAbi","100796at32523"
"47","cheMyd","100796at32523"
"48","cheSer","100796at32523"
"49","chrPic","100796at32523"
"50","cuoAmb","100796at32523"
"51","cuoMcc","100796at32523"
"52","derCor","100796at32523"
"53","derMaw","100796at32523"
"54","emySub","100796at32523"
"55","gopAga","100796at32523"
"56","malTer","100796at32523"
"57","mesTub","100796at32523"
"58","pelCas","100796at32523"
"59","pelSin","100796at32523"
"60","plaMeg","100796at32523"
"61","podExp","100796at32523"
"62","carIns","102110at32523"
"63","cheAbi","102110at32523"
"64","cheMyd","102110at32523"
"65","chrPic","102110at32523"
"66","derMaw","102110at32523"
"67","emySub","102110at32523"
"68","gopAga","102110at32523"
"69","malTer","102110at32523"
"70","pelCas","102110at32523"
"71","pelSin","102110at32523"
"72","plaMeg","102110at32523"
"73","podExp","102110at32523"
"74","terMex","102110at32523"
"75","derCor","10341at32523"
"76","podExp","103627at32523"
"77","carIns","104070at32523"
"78","cheAbi","104070at32523"
"79","cheMyd","104070at32523"
"80","cheSer","104070at32523"
"81","chrPic","104070at32523"
"82","cuoMcc","104070at32523"
"83","derCor","104070at32523"
"84","derMaw","104070at32523"
"85","emySub","104070at32523"
"86","gopAga","104070at32523"
"87","malTer","104070at32523"
"88","mesTub","104070at32523"
"89","pelCas","104070at32523"
"90","pelSin","104070at32523"
"91","plaMeg","104070at32523"
"92","podExp","104070at32523"
"93","terMex","104070at32523"
"94","carIns","105916at32523"
"95","cheAbi","105916at32523"
"96","cheMyd","105916at32523"
"97","cheSer","105916at32523"
"98","chrPic","105916at32523"
"99","derCor","105916at32523"
"100","gopAga","105916at32523"
"101","malTer","105916at32523"
"102","mesTub","105916at32523"
"103","pelCas","105916at32523"
"104","pelSin","105916at32523"
"105","podExp","105916at32523"
"106","cheAbi","105920at32523"
"107","cheMyd","105920at32523"
"108","cheSer","105920at32523"
"109","chrPic","105920at32523"
"110","cuoAmb","105920at32523"
"111","cuoMcc","105920at32523"
"112","derCor","105920at32523"
"113","derMaw","105920at32523"
"114","emySub","105920at32523"
"115","gopAga","105920at32523"
"116","malTer","105920at32523"
"117","mesTub","105920at32523"
"118","pelCas","105920at32523"
"119","pelSin","105920at32523"
"120","plaMeg","105920at32523"
"121","podExp","105920at32523"
"122","terMex","105920at32523"
"123","derCor","106726at32523"
"124","carIns","106993at32523"
"125","cheMyd","106993at32523"
"126","chrPic","106993at32523"
"127","cuoMcc","106993at32523"
"128","derCor","106993at32523"
"129","derMaw","106993at32523"
"130","emySub","106993at32523"
"131","gopAga","106993at32523"
"132","malTer","106993at32523"
"133","pelCas","106993at32523"
"134","pelSin","106993at32523"
"135","plaMeg","106993at32523"
"136","podExp","106993at32523"
"137","terMex","106993at32523"
"138","carIns","110019at32523"
"139","cheAbi","110019at32523"
"140","cheMyd","110019at32523"
"141","cheSer","110019at32523"
"142","chrPic","110019at32523"
"143","cuoAmb","110019at32523"
"144","cuoMcc","110019at32523"
"145","derCor","110019at32523"
"146","derMaw","110019at32523"
"147","emySub","110019at32523"
"148","gopAga","110019at32523"
"149","malTer","110019at32523"
"150","mesTub","110019at32523"
"151","pelCas","110019at32523"
"152","pelSin","110019at32523"
"153","plaMeg","110019at32523"
"154","podExp","110019at32523"
"155","terMex","110019at32523"
"156","cheAbi","112209at32523"
"157","cheMyd","112209at32523"
"158","chrPic","112209at32523"
"159","cuoMcc","112209at32523"
"160","derCor","112209at32523"
"161","derMaw","112209at32523"
"162","emySub","112209at32523"
"163","gopAga","112209at32523"
"164","malTer","112209at32523"
"165","mesTub","112209at32523"
"166","pelCas","112209at32523"
"167","plaMeg","112209at32523"
"168","podExp","112209at32523"
"169","terMex","112209at32523"
"170","cheAbi","112465at32523"
"171","chrPic","112465at32523"
"172","cuoAmb","112465at32523"
"173","derCor","112465at32523"
"174","derMaw","112465at32523"
"175","emySub","112465at32523"
"176","gopAga","112465at32523"
"177","malTer","112465at32523"
"178","mesTub","112465at32523"
"179","pelCas","112465at32523"
"180","plaMeg","112465at32523"
"181","podExp","112465at32523"
"182","carIns","113921at32523"
"183","cheAbi","113921at32523"
"184","cheSer","113921at32523"
"185","cuoAmb","113921at32523"
"186","cuoMcc","113921at32523"
"187","emySub","113921at32523"
"188","gopAga","113921at32523"
"189","malTer","113921at32523"
"190","mesTub","113921at32523"
"191","pelCas","113921at32523"
"192","pelSin","113921at32523"
"193","plaMeg","113921at32523"
"194","podExp","113921at32523"
"195","podExp","114393at32523"
"196","carIns","115499at32523"
"197","cheAbi","115499at32523"
"198","cheMyd","115499at32523"
"199","cheSer","115499at32523"
"200","chrPic","115499at32523"
"201","cuoMcc","115499at32523"
"202","derCor","115499at32523"
"203","derMaw","115499at32523"
"204","emySub","115499at32523"
"205","gopAga","115499at32523"
"206","malTer","115499at32523"
