"","Gene","Species"
"1","cuoAmb","103318at32523"
"2","cuoMcc","103318at32523"
"3","chrPic","106366at32523"
"4","malTer","106366at32523"
"5","cheAbi","106441at32523"
"6","cheMyd","106441at32523"
"7","cheSer","106441at32523"
"8","chrPic","106441at32523"
"9","cuoAmb","106441at32523"
"10","derMaw","106441at32523"
"11","emySub","106441at32523"
"12","gopAga","106441at32523"
"13","malTer","106441at32523"
"14","mesTub","106441at32523"
"15","pelCas","106441at32523"
"16","plaMeg","106441at32523"
"17","podExp","106441at32523"
"18","terMex","106441at32523"
"19","cheMyd","107381at32523"
"20","derCor","107381at32523"
"21","derMaw","107381at32523"
"22","plaMeg","107381at32523"
"23","terMex","107381at32523"
"24","cheSer","108898at32523"
"25","chrPic","108898at32523"
"26","plaMeg","108898at32523"
"27","terMex","108898at32523"
"28","cheAbi","109112at32523"
"29","cheMyd","109112at32523"
"30","chrPic","109112at32523"
"31","derCor","109112at32523"
"32","malTer","109112at32523"
"33","terMex","109112at32523"
"34","chrPic","109835at32523"
"35","cuoAmb","109835at32523"
"36","cuoMcc","109835at32523"
"37","terMex","109835at32523"
"38","chrPic","110019at32523"
"39","malTer","110019at32523"
"40","carIns","113678at32523"
"41","cheAbi","113678at32523"
"42","cheSer","113678at32523"
"43","cuoAmb","113678at32523"
"44","terMex","113678at32523"
"45","cheAbi","117356at32523"
"46","cheMyd","117356at32523"
"47","cheSer","117356at32523"
"48","chrPic","117356at32523"
"49","gopAga","117356at32523"
"50","plaMeg","117356at32523"
"51","cuoMcc","118839at32523"
"52","gopAga","118839at32523"
"53","cuoAmb","119513at32523"
"54","cuoMcc","119513at32523"
"55","chrPic","121275at32523"
"56","malTer","121275at32523"
"57","cuoAmb","121481at32523"
"58","cuoMcc","121481at32523"
"59","chrPic","121708at32523"
"60","terMex","121708at32523"
"61","cheMyd","12302at32523"
"62","cheSer","12302at32523"
"63","chrPic","12302at32523"
"64","malTer","12302at32523"
"65","terMex","12302at32523"
"66","cuoAmb","123289at32523"
"67","cuoMcc","123289at32523"
"68","cheSer","123811at32523"
"69","cuoAmb","123811at32523"
"70","cuoMcc","123811at32523"
"71","malTer","123811at32523"
"72","cheAbi","124648at32523"
"73","cuoAmb","124648at32523"
"74","cuoMcc","124648at32523"
"75","gopAga","124648at32523"
"76","cheAbi","126689at32523"
"77","cheSer","126689at32523"
"78","chrPic","126689at32523"
"79","cuoMcc","126689at32523"
"80","malTer","126689at32523"
"81","chrPic","130217at32523"
"82","plaMeg","130217at32523"
"83","cheAbi","130319at32523"
"84","chrPic","130319at32523"
"85","gopAga","130319at32523"
"86","malTer","130319at32523"
"87","emySub","133266at32523"
"88","cuoAmb","133315at32523"
"89","cuoMcc","133315at32523"
"90","chrPic","134746at32523"
"91","terMex","134746at32523"
"92","chrPic","135019at32523"
"93","cuoMcc","135019at32523"
"94","malTer","135019at32523"
"95","plaMeg","135019at32523"
"96","cheAbi","135651at32523"
"97","gopAga","135651at32523"
"98","malTer","135651at32523"
"99","terMex","135651at32523"
"100","chrPic","135809at32523"
"101","cuoAmb","135809at32523"
"102","cuoMcc","135809at32523"
"103","malTer","135809at32523"
"104","terMex","135809at32523"
"105","chrPic","136252at32523"
"106","malTer","136252at32523"
"107","chrPic","136715at32523"
"108","terMex","136715at32523"
"109","cheMyd","13705at32523"
"110","cheSer","13705at32523"
"111","pelCas","13705at32523"
"112","podExp","13705at32523"
"113","carIns","137161at32523"
"114","cheAbi","137161at32523"
"115","cheSer","137161at32523"
"116","chrPic","137161at32523"
"117","cuoAmb","137161at32523"
"118","cuoMcc","137161at32523"
"119","derCor","137161at32523"
"120","derMaw","137161at32523"
"121","emySub","137161at32523"
"122","gopAga","137161at32523"
"123","mesTub","137161at32523"
"124","pelCas","137161at32523"
"125","pelSin","137161at32523"
"126","plaMeg","137161at32523"
"127","podExp","137161at32523"
"128","terMex","137161at32523"
"129","chrPic","138387at32523"
"130","cuoAmb","138387at32523"
"131","terMex","138387at32523"
"132","cheAbi","138953at32523"
"133","malTer","138953at32523"
"134","plaMeg","138953at32523"
"135","terMex","138953at32523"
"136","chrPic","140901at32523"
"137","malTer","140901at32523"
"138","cheMyd","141340at32523"
"139","chrPic","141340at32523"
"140","cuoAmb","141340at32523"
"141","gopAga","141340at32523"
"142","malTer","141340at32523"
"143","plaMeg","141340at32523"
"144","cuoMcc","144360at32523"
"145","gopAga","144360at32523"
"146","chrPic","146229at32523"
"147","malTer","146229at32523"
"148","cheMyd","146870at32523"
"149","cheSer","146870at32523"
"150","plaMeg","146870at32523"
"151","cheSer","147363at32523"
"152","chrPic","147363at32523"
"153","derMaw","147363at32523"
"154","malTer","147363at32523"
"155","mesTub","147363at32523"
"156","plaMeg","147363at32523"
"157","terMex","147363at32523"
"158","malTer","147626at32523"
"159","plaMeg","147626at32523"
"160","terMex","147626at32523"
"161","carIns","150210at32523"
"162","cheAbi","150210at32523"
"163","cheSer","150210at32523"
"164","cuoMcc","150210at32523"
"165","derCor","150210at32523"
"166","malTer","150210at32523"
"167","pelCas","150210at32523"
"168","plaMeg","150210at32523"
"169","podExp","150210at32523"
"170","terMex","150210at32523"
"171","cuoAmb","151083at32523"
"172","cuoMcc","151083at32523"
"173","cuoAmb","153562at32523"
"174","cuoMcc","153562at32523"
"175","derMaw","153562at32523"
"176","gopAga","153562at32523"
"177","cheAbi","154328at32523"
"178","cheSer","154328at32523"
"179","emySub","154328at32523"
"180","gopAga","154328at32523"
"181","malTer","154328at32523"
"182","mesTub","154328at32523"
"183","plaMeg","154328at32523"
"184","podExp","154328at32523"
"185","terMex","154328at32523"
"186","carIns","155262at32523"
"187","cheAbi","155262at32523"
"188","cheMyd","155262at32523"
"189","chrPic","155262at32523"
"190","cuoAmb","155262at32523"
"191","cuoMcc","155262at32523"
"192","derCor","155262at32523"
"193","derMaw","155262at32523"
"194","emySub","155262at32523"
"195","gopAga","155262at32523"
"196","malTer","155262at32523"
"197","pelSin","155262at32523"
"198","plaMeg","155262at32523"
"199","podExp","155262at32523"
"200","chrPic","155642at32523"
"201","malTer","155642at32523"
"202","cheAbi","155765at32523"
"203","chrPic","155765at32523"
"204","cuoMcc","155765at32523"
"205","malTer","155765at32523"
"206","plaMeg","155765at32523"
"207","chrPic","156433at32523"
"208","malTer","156433at32523"
"209","cuoAmb","156520at32523"
"210","cuoMcc","156520at32523"
"211","chrPic","157610at32523"
"212","malTer","157610at32523"
"213","carIns","157717at32523"
"214","emySub","157717at32523"
"215","plaMeg","157717at32523"
"216","podExp","157717at32523"
"217","terMex","157717at32523"
"218","cheAbi","158403at32523"
"219","cuoAmb","158403at32523"
"220","cuoMcc","158403at32523"
"221","chrPic","158493at32523"
"222","malTer","158493at32523"
"223","cuoAmb","159065at32523"
"224","cuoMcc","159065at32523"
"225","derMaw","159065at32523"
"226","mesTub","159065at32523"
"227","pelSin","159065at32523"
"228","podExp","159065at32523"
"229","carIns","159137at32523"
"230","chrPic","159137at32523"
"231","cuoMcc","159137at32523"
"232","emySub","159137at32523"
"233","gopAga","159137at32523"
"234","pelCas","159137at32523"
"235","plaMeg","159137at32523"
"236","podExp","159137at32523"
"237","terMex","159137at32523"
"238","plaMeg","159382at32523"
"239","terMex","159382at32523"
"240","plaMeg","160202at32523"
"241","chrPic","16076at32523"
"242","terMex","16076at32523"
"243","cheSer","160946at32523"
"244","plaMeg","160946at32523"
"245","chrPic","161090at32523"
"246","cuoAmb","161090at32523"
"247","cuoMcc","161090at32523"
"248","plaMeg","161090at32523"
"249","terMex","161090at32523"
"250","cheAbi","162030at32523"
"251","chrPic","162030at32523"
"252","cuoAmb","162030at32523"
"253","cuoMcc","162030at32523"
"254","malTer","162030at32523"
"255","plaMeg","162030at32523"
"256","terMex","162030at32523"
"257","cuoAmb","162454at32523"
"258","malTer","162454at32523"
"259","plaMeg","162454at32523"
"260","cheAbi","164484at32523"
"261","cheMyd","164484at32523"
"262","cheSer","164484at32523"
"263","chrPic","164484at32523"
"264","cuoAmb","164484at32523"
"265","cuoMcc","164484at32523"
"266","derCor","164484at32523"
"267","derMaw","164484at32523"
"268","emySub","164484at32523"
"269","mesTub","164484at32523"
"270","terMex","164484at32523"
"271","cuoAmb","165017at32523"
"272","cuoMcc","165017at32523"
"273","chrPic","165494at32523"
"274","cuoAmb","165494at32523"
"275","malTer","165494at32523"
"276","plaMeg","165494at32523"
"277","chrPic","166353at32523"
"278","malTer","166353at32523"
"279","chrPic","167437at32523"
"280","cuoMcc","167437at32523"
"281","gopAga","167437at32523"
"282","cheSer","167540at32523"
"283","cuoMcc","167540at32523"
"284","derCor","167540at32523"
"285","derMaw","167540at32523"
"286","mesTub","167540at32523"
"287","pelSin","167540at32523"
"288","terMex","167540at32523"
"289","chrPic","170076at32523"
"290","terMex","170076at32523"
"291","cheAbi","173099at32523"
"292","cheMyd","173099at32523"
"293","cheSer","173099at32523"
"294","emySub","173099at32523"
"295","pelCas","173099at32523"
"296","podExp","173099at32523"
"297","terMex","173099at32523"
"298","carIns","173747at32523"
"299","cheMyd","173747at32523"
"300","chrPic","173747at32523"
"301","cuoAmb","173747at32523"
"302","cuoMcc","173747at32523"
"303","derCor","173747at32523"
"304","derMaw","173747at32523"
"305","emySub","173747at32523"
"306","malTer","173747at32523"
"307","mesTub","173747at32523"
"308","podExp","173747at32523"
"309","terMex","173747at32523"
"310","derCor","173918at32523"
"311","plaMeg","173918at32523"
"312","chrPic","174403at32523"
"313","cuoMcc","174403at32523"
"314","derCor","174403at32523"
"315","derMaw","174403at32523"
"316","emySub","174403at32523"
"317","gopAga","174403at32523"
"318","malTer","174403at32523"
"319","plaMeg","174403at32523"
"320","terMex","174403at32523"
"321","cheAbi","174649at32523"
"322","cheSer","174649at32523"
"323","chrPic","174649at32523"
"324","derCor","174649at32523"
"325","derMaw","174649at32523"
