"","Gene","Species"
"1","carIns","100325at32523"
"2","cheAbi","100325at32523"
"3","cheMyd","100325at32523"
"4","cheSer","100325at32523"
"5","chrPic","100325at32523"
"6","cuoAmb","100325at32523"
"7","cuoMcc","100325at32523"
"8","derCor","100325at32523"
"9","derMaw","100325at32523"
"10","emySub","100325at32523"
"11","gopAga","100325at32523"
"12","malTer","100325at32523"
"13","mesTub","100325at32523"
"14","pelCas","100325at32523"
"15","pelSin","100325at32523"
"16","plaMeg","100325at32523"
"17","podExp","100325at32523"
"18","terMex","100325at32523"
"19","carIns","102110at32523"
"20","cheAbi","102110at32523"
"21","cheMyd","102110at32523"
"22","chrPic","102110at32523"
"23","derMaw","102110at32523"
"24","emySub","102110at32523"
"25","gopAga","102110at32523"
"26","malTer","102110at32523"
"27","pelCas","102110at32523"
"28","pelSin","102110at32523"
"29","plaMeg","102110at32523"
"30","podExp","102110at32523"
"31","terMex","102110at32523"
"32","carIns","104070at32523"
"33","cheAbi","104070at32523"
"34","cheMyd","104070at32523"
"35","cheSer","104070at32523"
"36","chrPic","104070at32523"
"37","cuoMcc","104070at32523"
"38","derCor","104070at32523"
"39","derMaw","104070at32523"
"40","emySub","104070at32523"
"41","gopAga","104070at32523"
"42","malTer","104070at32523"
"43","mesTub","104070at32523"
"44","pelCas","104070at32523"
"45","pelSin","104070at32523"
"46","plaMeg","104070at32523"
"47","podExp","104070at32523"
"48","terMex","104070at32523"
"49","carIns","105916at32523"
"50","cheAbi","105916at32523"
"51","cheMyd","105916at32523"
"52","cheSer","105916at32523"
"53","chrPic","105916at32523"
"54","derCor","105916at32523"
"55","gopAga","105916at32523"
"56","malTer","105916at32523"
"57","mesTub","105916at32523"
"58","pelCas","105916at32523"
"59","pelSin","105916at32523"
"60","podExp","105916at32523"
"61","mesTub","112465at32523"
"62","carIns","115499at32523"
"63","cheAbi","115499at32523"
"64","cheMyd","115499at32523"
"65","cheSer","115499at32523"
"66","chrPic","115499at32523"
"67","cuoMcc","115499at32523"
"68","derCor","115499at32523"
"69","derMaw","115499at32523"
"70","emySub","115499at32523"
"71","gopAga","115499at32523"
"72","malTer","115499at32523"
"73","mesTub","115499at32523"
"74","pelCas","115499at32523"
"75","pelSin","115499at32523"
"76","plaMeg","115499at32523"
"77","podExp","115499at32523"
