"","x"
"1","101303at32523"
"2","101542at32523"
"3","101949at32523"
"4","102110at32523"
"5","102529at32523"
"6","105916at32523"
"7","107213at32523"
"8","109646at32523"
"9","113062at32523"
"10","113607at32523"
"11","116132at32523"
"12","118839at32523"
"13","119144at32523"
"14","121184at32523"
"15","124683at32523"
"16","126395at32523"
"17","126597at32523"
"18","126992at32523"
"19","128422at32523"
"20","133426at32523"
"21","134798at32523"
"22","135131at32523"
"23","135243at32523"
"24","135387at32523"
"25","137324at32523"
"26","140221at32523"
"27","141057at32523"
"28","142022at32523"
"29","142484at32523"
"30","143078at32523"
"31","144146at32523"
"32","144781at32523"
"33","146603at32523"
"34","150509at32523"
"35","154801at32523"
"36","155190at32523"
"37","157171at32523"
"38","158268at32523"
"39","165745at32523"
"40","16602at32523"
"41","166537at32523"
"42","169435at32523"
"43","172222at32523"
"44","172434at32523"
"45","173903at32523"
"46","174675at32523"
"47","174944at32523"
"48","177431at32523"
"49","178320at32523"
"50","178984at32523"
"51","179871at32523"
"52","180491at32523"
"53","18091at32523"
"54","181904at32523"
"55","182203at32523"
"56","182302at32523"
"57","182549at32523"
"58","184192at32523"
"59","185680at32523"
"60","188147at32523"
"61","188390at32523"
"62","189115at32523"
"63","189244at32523"
"64","191037at32523"
"65","191457at32523"
"66","191792at32523"
"67","192580at32523"
"68","193873at32523"
"69","194637at32523"
"70","194996at32523"
"71","196611at32523"
"72","197589at32523"
"73","199537at32523"
"74","200165at32523"
"75","201210at32523"
"76","202849at32523"
"77","203233at32523"
"78","203753at32523"
"79","204259at32523"
"80","207984at32523"
"81","209160at32523"
"82","209752at32523"
"83","214194at32523"
"84","215463at32523"
"85","216370at32523"
"86","217270at32523"
"87","219434at32523"
"88","219664at32523"
"89","219728at32523"
"90","223827at32523"
"91","224102at32523"
"92","224157at32523"
"93","224356at32523"
"94","226027at32523"
"95","229324at32523"
"96","230017at32523"
"97","230300at32523"
"98","230953at32523"
"99","232639at32523"
"100","233591at32523"
"101","235309at32523"
"102","235866at32523"
"103","23620at32523"
"104","237857at32523"
"105","237986at32523"
"106","238128at32523"
"107","239568at32523"
"108","239803at32523"
"109","240061at32523"
"110","240467at32523"
"111","242048at32523"
"112","242688at32523"
"113","243385at32523"
"114","24343at32523"
"115","244088at32523"
"116","244174at32523"
"117","244751at32523"
"118","246490at32523"
"119","247795at32523"
"120","249069at32523"
"121","249219at32523"
"122","249342at32523"
"123","249702at32523"
"124","250470at32523"
"125","250976at32523"
"126","251245at32523"
"127","251873at32523"
"128","251875at32523"
"129","251946at32523"
"130","252686at32523"
"131","253171at32523"
"132","253220at32523"
"133","255863at32523"
"134","257507at32523"
"135","257812at32523"
"136","258205at32523"
"137","25837at32523"
"138","259026at32523"
"139","259095at32523"
"140","259306at32523"
"141","260778at32523"
"142","260781at32523"
"143","261311at32523"
"144","263440at32523"
"145","263835at32523"
"146","26466at32523"
"147","265077at32523"
"148","265834at32523"
"149","266685at32523"
"150","267061at32523"
"151","267170at32523"
"152","267472at32523"
"153","267603at32523"
"154","268208at32523"
"155","269039at32523"
"156","269391at32523"
"157","269758at32523"
"158","270377at32523"
"159","271071at32523"
"160","272037at32523"
"161","274027at32523"
"162","274390at32523"
"163","275846at32523"
"164","277011at32523"
"165","277586at32523"
"166","277821at32523"
"167","278185at32523"
"168","27867at32523"
"169","279422at32523"
"170","279702at32523"
"171","280182at32523"
"172","280970at32523"
"173","281334at32523"
"174","281797at32523"
"175","282407at32523"
"176","282898at32523"
"177","283371at32523"
"178","283521at32523"
"179","283776at32523"
"180","284008at32523"
"181","285079at32523"
"182","286324at32523"
"183","286462at32523"
"184","286526at32523"
"185","287872at32523"
"186","288247at32523"
"187","288598at32523"
"188","288923at32523"
"189","289300at32523"
"190","289585at32523"
"191","290216at32523"
"192","290236at32523"
"193","290800at32523"
"194","291175at32523"
"195","292094at32523"
"196","292234at32523"
"197","292567at32523"
"198","293250at32523"
"199","293308at32523"
"200","293881at32523"
"201","294083at32523"
"202","294091at32523"
"203","294369at32523"
"204","294624at32523"
"205","294828at32523"
"206","295641at32523"
"207","298204at32523"
"208","298237at32523"
"209","298305at32523"
"210","299063at32523"
"211","299214at32523"
"212","299480at32523"
"213","300642at32523"
"214","301105at32523"
"215","301845at32523"
"216","302602at32523"
"217","302721at32523"
"218","302930at32523"
"219","30310at32523"
"220","303212at32523"
"221","304134at32523"
"222","305138at32523"
"223","305590at32523"
"224","308580at32523"
"225","308747at32523"
"226","308939at32523"
"227","34372at32523"
"228","3576at32523"
"229","37749at32523"
"230","44174at32523"
"231","45054at32523"
"232","48483at32523"
"233","51621at32523"
"234","53386at32523"
"235","54120at32523"
"236","57153at32523"
"237","58163at32523"
"238","64249at32523"
"239","65318at32523"
"240","67681at32523"
"241","69006at32523"
"242","7066at32523"
"243","72515at32523"
"244","74571at32523"
"245","80601at32523"
"246","82211at32523"
"247","82692at32523"
"248","83722at32523"
"249","83849at32523"
"250","84445at32523"
"251","90019at32523"
"252","90752at32523"
"253","91147at32523"
"254","94920at32523"
"255","99669at32523"
