"","Gene","Species"
"1","carIns","100088at32523"
"2","cheAbi","100088at32523"
"3","cheMyd","100088at32523"
"4","chrPic","100088at32523"
"5","cuoMcc","100088at32523"
"6","derCor","100088at32523"
"7","derMaw","100088at32523"
"8","gopAga","100088at32523"
"9","pelCas","100088at32523"
"10","plaMeg","100088at32523"
"11","terMex","100325at32523"
"12","carIns","10041at32523"
"13","cheAbi","10041at32523"
"14","chrPic","10041at32523"
"15","derCor","10041at32523"
"16","derMaw","10041at32523"
"17","emySub","10041at32523"
"18","malTer","10041at32523"
"19","mesTub","10041at32523"
"20","plaMeg","10041at32523"
"21","cuoAmb","100592at32523"
"22","derMaw","100592at32523"
"23","mesTub","100592at32523"
"24","cheSer","100783at32523"
"25","chrPic","100783at32523"
"26","cuoAmb","100783at32523"
"27","cuoMcc","100783at32523"
"28","derCor","100783at32523"
"29","derMaw","100783at32523"
"30","emySub","100783at32523"
"31","pelSin","100783at32523"
"32","plaMeg","100783at32523"
"33","podExp","100783at32523"
"34","terMex","100783at32523"
"35","carIns","100796at32523"
"36","cheAbi","100796at32523"
"37","cheMyd","100796at32523"
"38","cheSer","100796at32523"
"39","chrPic","100796at32523"
"40","cuoAmb","100796at32523"
"41","cuoMcc","100796at32523"
"42","derCor","100796at32523"
"43","derMaw","100796at32523"
"44","emySub","100796at32523"
"45","gopAga","100796at32523"
"46","malTer","100796at32523"
"47","mesTub","100796at32523"
"48","pelCas","100796at32523"
"49","pelSin","100796at32523"
"50","plaMeg","100796at32523"
"51","podExp","100796at32523"
"52","carIns","100824at32523"
"53","cheAbi","100824at32523"
"54","cheMyd","100824at32523"
"55","cheSer","100824at32523"
"56","chrPic","100824at32523"
"57","cuoMcc","100824at32523"
"58","derMaw","100824at32523"
"59","gopAga","100824at32523"
"60","mesTub","100824at32523"
"61","pelCas","100824at32523"
"62","pelSin","100824at32523"
"63","plaMeg","100824at32523"
"64","podExp","100824at32523"
"65","terMex","100824at32523"
"66","derCor","101114at32523"
"67","derMaw","101114at32523"
"68","emySub","101114at32523"
"69","gopAga","101114at32523"
"70","malTer","101114at32523"
"71","mesTub","101114at32523"
"72","pelCas","101114at32523"
"73","plaMeg","101114at32523"
"74","terMex","101114at32523"
"75","malTer","101208at32523"
"76","carIns","101303at32523"
"77","cheAbi","101303at32523"
"78","cheMyd","101303at32523"
"79","derMaw","101303at32523"
"80","emySub","101303at32523"
"81","gopAga","101303at32523"
"82","mesTub","101303at32523"
"83","pelCas","101303at32523"
"84","pelSin","101303at32523"
"85","plaMeg","101303at32523"
"86","terMex","101303at32523"
"87","chrPic","101373at32523"
"88","malTer","101373at32523"
"89","plaMeg","101373at32523"
"90","cuoAmb","101514at32523"
"91","carIns","101542at32523"
"92","cheSer","101542at32523"
"93","chrPic","101542at32523"
"94","cuoMcc","101542at32523"
"95","derCor","101542at32523"
"96","derMaw","101542at32523"
"97","emySub","101542at32523"
"98","gopAga","101542at32523"
"99","mesTub","101542at32523"
"100","pelCas","101542at32523"
"101","pelSin","101542at32523"
"102","plaMeg","101542at32523"
"103","podExp","101542at32523"
"104","terMex","101542at32523"
"105","cheAbi","101655at32523"
"106","cuoAmb","101655at32523"
"107","cuoMcc","101655at32523"
"108","emySub","101655at32523"
"109","gopAga","101655at32523"
"110","mesTub","101655at32523"
"111","pelCas","101655at32523"
"112","pelSin","101655at32523"
"113","plaMeg","101655at32523"
"114","cheMyd","101803at32523"
"115","cheSer","101803at32523"
"116","derMaw","101803at32523"
"117","emySub","101803at32523"
"118","gopAga","101803at32523"
"119","mesTub","101803at32523"
"120","pelCas","101803at32523"
"121","pelSin","101803at32523"
"122","plaMeg","101803at32523"
"123","podExp","101803at32523"
"124","cheAbi","101948at32523"
"125","chrPic","101948at32523"
"126","emySub","101948at32523"
"127","gopAga","101948at32523"
"128","malTer","101948at32523"
"129","plaMeg","101948at32523"
"130","terMex","101948at32523"
"131","carIns","101949at32523"
"132","cheAbi","101949at32523"
"133","cheMyd","101949at32523"
"134","cheSer","101949at32523"
"135","chrPic","101949at32523"
"136","derCor","101949at32523"
"137","derMaw","101949at32523"
"138","emySub","101949at32523"
"139","gopAga","101949at32523"
"140","malTer","101949at32523"
"141","mesTub","101949at32523"
"142","pelCas","101949at32523"
"143","pelSin","101949at32523"
"144","terMex","101949at32523"
"145","carIns","102110at32523"
"146","cheAbi","102110at32523"
"147","cheMyd","102110at32523"
"148","chrPic","102110at32523"
"149","derMaw","102110at32523"
"150","emySub","102110at32523"
"151","gopAga","102110at32523"
"152","malTer","102110at32523"
"153","pelCas","102110at32523"
"154","pelSin","102110at32523"
"155","plaMeg","102110at32523"
"156","podExp","102110at32523"
"157","terMex","102110at32523"
"158","chrPic","102420at32523"
"159","cuoMcc","102420at32523"
"160","derCor","102420at32523"
"161","derMaw","102420at32523"
"162","gopAga","102420at32523"
"163","mesTub","102420at32523"
"164","pelCas","102420at32523"
"165","pelSin","102420at32523"
"166","podExp","102420at32523"
"167","terMex","102420at32523"
"168","chrPic","102443at32523"
"169","cuoAmb","102443at32523"
"170","malTer","102443at32523"
"171","plaMeg","102443at32523"
"172","terMex","102443at32523"
"173","carIns","102529at32523"
"174","cheAbi","102529at32523"
"175","cheMyd","102529at32523"
"176","cheSer","102529at32523"
"177","chrPic","102529at32523"
"178","cuoMcc","102529at32523"
"179","derMaw","102529at32523"
"180","emySub","102529at32523"
"181","gopAga","102529at32523"
"182","malTer","102529at32523"
"183","pelCas","102529at32523"
"184","pelSin","102529at32523"
"185","podExp","102529at32523"
"186","cheMyd","102721at32523"
"187","chrPic","102721at32523"
"188","derCor","102721at32523"
"189","derMaw","102721at32523"
"190","emySub","102721at32523"
"191","gopAga","102721at32523"
"192","malTer","102721at32523"
"193","mesTub","102721at32523"
"194","terMex","102721at32523"
"195","chrPic","102781at32523"
"196","derCor","102781at32523"
"197","gopAga","102781at32523"
"198","mesTub","102781at32523"
"199","pelCas","102781at32523"
"200","podExp","102781at32523"
"201","cheAbi","103182at32523"
"202","cheMyd","103182at32523"
"203","cheSer","103182at32523"
"204","cuoAmb","103182at32523"
"205","cuoMcc","103182at32523"
"206","derCor","103182at32523"
